caption,filepath
"One orange Tarsastrocles verrilli with a rough, spiny texture positioned on dark, jagged basalt rock amidst a sandy substrate.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/0a81fd39-9158-4773-a19d-f321f067a9c9.jpg
"One translucent, bell-shaped Deepstaria reticulum with a smooth, gelatinous texture floating in open water above a sandy seafloor.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/10b0dfdf-02e4-4b85-a4f8-f705075cbc17.jpg
"One reddish-brown Sebastes levis with elongated fins resting on a soft, silt-covered seafloor.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/11ed725d-8f62-446a-ba6e-92af3b293b14.jpg
"One vibrant red Scalicus engyceros with elongated fins and a textured body resting on a coarse, dark sediment surface.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/3bf47f2b-2915-410f-9f4f-57aa24529055.jpg
"One pale, textured Paralomis with a rough carapace and elongated claws is positioned on a rocky, sediment-covered seafloor.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/3fa6f63b-0b71-42cc-a751-10042004c761.jpg
"One white, tubular Psilocalyx wilsoni with a porous texture, positioned upright on a dark, rocky substrate.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/50f9ba28-29aa-4c27-8c9b-064b881c6713.jpg
"One Hemicorallium abyssale displaying a delicate, branching structure in soft pink hues, positioned against a dark, rocky substrate.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/5c9cba06-c647-4501-a56f-f8eda25330c5.jpg
"One pinkish Peribolaster with a bumpy texture and elongated arms resting on a dark, rocky substrate.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/68146dff-d779-49e9-93fa-60777487fdda.jpg
"One pale Bathyraja trachura with a flattened, disc-like body resting on a soft, sandy seafloor.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/74a6ba02-9b97-436a-a862-a9c126266462.jpg
"One translucent Rhopalonematidae with a reddish bell and long, delicate tentacles drifting above a smooth, sandy seafloor.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/766c9f8f-cc24-40b2-b02e-947459cef281.jpg
"One Gonatopsis with a mottled brown body and elongated, spiny tentacles hovering above a soft, sandy seafloor.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/821052f3-75fa-4726-a176-7ca0e0f4ccf9.jpg
"One Lophiodes beroe with a mottled brown body, textured skin, and prominent facial features resting on a sandy seafloor.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/8e53d25f-1c5e-42e1-9077-3493970a66f0.jpg
"One translucent Gaza with a smooth, spiraled shell exhibiting iridescent hues, resting on fine, sandy substrate near a dark rock formation.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/984e8fbb-53b8-4ac8-8f10-a7c4f0aafe3f.jpg
"One vibrant pink Sebastolobus with a streamlined body swimming above a dark, circular shoe-shaped object partially buried in fine, sandy substrate.",src/data/Fathomnet-by-Phylum-2/zero-shot/images/a91a18f6-69fc-48bc-b387-7ce3693c23c6.jpg
