caption,filepath
"Bathyraja spinosissima glides over rocky substrate, displaying a flattened body with a light gray coloration and prominent pectoral fins.",src/data/Fathomnet-by-Phylum-2/images/original/001c55a1-6a39-4f0b-8cba-70efa5b6ef0e_original.jpg
"Cystechinus giganteus exhibits a pale, rounded shape on a sandy seafloor, surrounded by fine silt and scattered organic debris.",src/data/Fathomnet-by-Phylum-2/images/original/0064284a-99a0-4ad2-b607-828fe49e4b39_original.jpg
"On a rugged basalt rock, a single Antimora microlepis displays a dark, elongated body against the textured surface.",src/data/Fathomnet-by-Phylum-2/images/original/0119ae5f-0b36-48c1-875a-bb37907cec57_original.jpg
"On a rugged basalt rock, a single Peniagone rests among the crevices, with fine textures contrasting against the dark substrate.",src/data/Fathomnet-by-Phylum-2/images/original/014885ae-6715-4485-b59c-2f2bbae53cd7_original.jpg
"Textured, dark rock substrate features sparse Munnopsidae, exhibiting a pale coloration against the surrounding deep-sea environment.",src/data/Fathomnet-by-Phylum-2/images/original/01f4b828-a8b8-413a-81fb-018fafe28074_original.jpg
"On a rugged basalt rock, a single Pterasteridae displays its vibrant yellow coloration against the dark, textured substrate.",src/data/Fathomnet-by-Phylum-2/images/original/024b57e3-3fe4-44e2-8ca1-d5887632c162_original.jpg
"Across a fine silt seafloor, three brittle stars (Ophiuroidea) and a large sea urchin (Cystechinus giganteus) are observed.",src/data/Fathomnet-by-Phylum-2/images/original/04d688a8-3307-4091-be68-88e5cd809629_original.jpg
"Translucent Bathyraja abyssicola rests on a sandy seafloor, showcasing its flat body and long, slender tail against a backdrop of fine sediment.",src/data/Fathomnet-by-Phylum-2/images/original/0632ef53-e09f-4b0e-96f7-2a87d0816b76_original.jpg
"Translucent Chrysogorgia extends from a rocky crevice, contrasting against the textured gray substrate of the seafloor.",src/data/Fathomnet-by-Phylum-2/images/original/06bd1304-4450-4eca-bc8a-8329365da0c4_original.jpg
"On a rugged basalt rock, a single Holothuroidea rests among the crevices, blending with the dark, textured surface.",src/data/Fathomnet-by-Phylum-2/images/original/072a0020-bf83-4edb-99e9-cbd0f4f01c41_original.jpg
"Textured, dark rocks cover the seafloor, interspersed with patches of soft sand, creating a habitat for benthic organisms.",src/data/Fathomnet-by-Phylum-2/images/original/07e8edc6-46b0-4aa3-9251-aca3f50b754f_original.jpg
"A yellow starfish rests on a rocky seafloor, surrounded by textured boulders and patches of dark silt.",src/data/Fathomnet-by-Phylum-2/images/original/07f19530-a0c3-4a49-ab20-77f65c576d60_original.jpg
"Across a rocky seafloor, various sediment textures are visible, with dark patches contrasting against lighter sandy areas.",src/data/Fathomnet-by-Phylum-2/images/original/0a1a27a9-31b6-4649-b11d-142ec5490985_original.jpg
"A pale Hymenaster starfish rests on a rocky seafloor, surrounded by dark silt and textured geological formations.",src/data/Fathomnet-by-Phylum-2/images/original/0c448dd3-51bb-478c-b1db-a8ac617cf7b5_original.jpg
"Coryphaenoides sp. rests on a rocky seafloor, surrounded by dark silt and textured sediment, exhibiting a muted coloration.",src/data/Fathomnet-by-Phylum-2/images/original/0c64c3a1-9520-4ae8-9008-feea8a78d48a_original.jpg
"Pannychia moseleyi exhibits a dark, textured body resting on a rocky seafloor, surrounded by silt and sediment.",src/data/Fathomnet-by-Phylum-2/images/original/0ceb57fe-5577-4c8c-9deb-78c8cb9ef4cf_original.jpg
"A brown Opisthoteuthis cf. californiana rests on a rocky seafloor, surrounded by patches of soft mud.",src/data/Fathomnet-by-Phylum-2/images/original/0d6d3ac3-ce5f-4cf1-a577-9b2ac77aa6dd_original.jpg
"On a rocky seafloor, a Pannychia with elongated, translucent tentacles extends above the dark substrate, surrounded by small red starfish.",src/data/Fathomnet-by-Phylum-2/images/original/0e344f98-b318-4d4b-951d-fe560e85fbb9_original.jpg
"Translucent Pteraster rests on a rocky seafloor, surrounded by dark, textured stones and patches of silt.",src/data/Fathomnet-by-Phylum-2/images/original/0e6ef718-a560-4e33-948a-9e37c909a67c_original.jpg
"Paragorgia arborea exhibits a vibrant pink color, branching structure, and is situated on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/images/original/0e959176-7522-417a-92b3-00571c073b13_original.jpg
"A rocky seafloor covered in silt and mud, with scattered pebbles and a faint outline of marine organisms.",src/data/Fathomnet-by-Phylum-2/images/original/0fca4ae6-3c42-40d8-9d15-b7740fbaca16_original.jpg
"A cluster of white, branching Zoantharia extends from a rocky substrate, surrounded by dark silt and hints of marine life.",src/data/Fathomnet-by-Phylum-2/images/original/127683e5-b4af-4f77-a031-5c57b9bd06c8_original.jpg
"On a rugged basalt rock, a single Asellota is observed, blending into the textured surface amidst fine sediment.",src/data/Fathomnet-by-Phylum-2/images/original/12aaac9b-28bc-40a0-aa29-b3627c84711e_original.jpg
"On a rugged rock substrate, a Bathyraja spinosissima displays its flat, pale body, blending with the dark textures of the seafloor.",src/data/Fathomnet-by-Phylum-2/images/original/12dcc67f-27a3-4b54-af0e-6a6ee0554993_original.jpg
"On a rugged basalt rock, a single Pteraster displays its star-shaped body, blending with the textured surface beneath.",src/data/Fathomnet-by-Phylum-2/images/original/13341ec2-e241-48b4-bd6a-3fdd864dcbc7_original.jpg
"A pair of translucent physonectae float through the dark blue water, surrounded by small particles against a backdrop of silt.",src/data/Fathomnet-by-Phylum-2/images/original/1373a24a-8ed2-45c1-8912-f2ab053a25b4_original.jpg
"A pale Bathyraja microtrachys glides over a sandy substrate, surrounded by rugged, textured rocks.",src/data/Fathomnet-by-Phylum-2/images/original/13d5bd81-e946-43a2-a5f3-fd1d0a239f38_original.jpg
"A translucent Hyalonema floats above a rocky seafloor, while a Synallactes rests on the textured substrate.",src/data/Fathomnet-by-Phylum-2/images/original/13ef4af0-5308-48c8-8ab8-939fa705e2ff_original.jpg
"On a rugged basalt rock, a Bathyraja spinosissima glides with a flattened, pale body and prominent eyes, blending into the dark substrate.",src/data/Fathomnet-by-Phylum-2/images/original/150f24a0-aa88-468e-9415-f1e8ea6c7f8d_original.jpg
"Textured black rock formations cover the seafloor, surrounded by fine silt, with a single Pannychia partially visible among the geological features.",src/data/Fathomnet-by-Phylum-2/images/original/161f160c-74a2-4e37-8602-dce75c29d120_original.jpg
"On a rocky seafloor, a Bathyraja microtrachys displays a flat, grayish body and elongated tail, resting among the textured stones.",src/data/Fathomnet-by-Phylum-2/images/original/16edde01-5afb-48a9-a766-82247c057bd8_original.jpg
"Hymenaster exhibits a pale blue coloration against a backdrop of dark, textured rock and soft silt on the seafloor.",src/data/Fathomnet-by-Phylum-2/images/original/17dca085-0aa8-47c3-be60-b66c844d5778_original.jpg
"Synallactes exhibit a pink, elongated body on a rocky seafloor, surrounded by small, pale echinoderms and fine sediment.",src/data/Fathomnet-by-Phylum-2/images/original/17e0206a-a723-4a6f-8acd-4ab529d08b51_original.jpg
"On a rugged basalt rock, a Synallactes displays its elongated body and smooth, pale skin against the dark, textured substrate.",src/data/Fathomnet-by-Phylum-2/images/original/18e1c8a3-6569-4b6a-a176-918214424ad7_original.jpg
"Bathyraja spinosissima glides over a sandy substrate, displaying a flattened body and smooth, grayish skin.",src/data/Fathomnet-by-Phylum-2/images/original/19b1a75c-511c-413e-85cc-65c7957af717_original.jpg
"A Coryphaenoides rests on a rocky seafloor, surrounded by dark, textured volcanic rock and patches of silt.",src/data/Fathomnet-by-Phylum-2/images/original/19b92796-58d7-4bf6-8ea7-d5bf8c02705b_original.jpg
